
initial_prompt,merchant_document_text,is_compelling,confidence_score,evidence_details,original_prediction_is_compelling,improved_prediction_is_compelling,original_prediction_confidence,improved_prediction_confidence
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared foreign ID card. There is also a email confirmation confirming the order. A selfie with the foreign ID card and the cardholder's face is included.,TRUE,0.97,Evidence includes a shared foreign ID card. with a email confirmation confirming the order. A selfie with the foreign ID card and the cardholder's face is included.,TRUE,TRUE,1,0.97
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Only phone verification notes. No images or emails were provided.,FALSE,0.36,Only phone verification notes. No images or emails were provided. Missing photographic or email proof.,FALSE,FALSE,0.22,0.45
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a scanned government ID. There is also a email confirmation confirming the order.,TRUE,0.93,Evidence includes a scanned government ID. with a email confirmation confirming the order.,TRUE,TRUE,0.77,0.99
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided government ID. There is also a email confirmation confirming the order. A selfie with the government ID and the cardholder's face is included.,TRUE,0.84,Evidence includes a provided government ID. with a email confirmation confirming the order. A selfie with the government ID and the cardholder's face is included.,FALSE,TRUE,0.7,0.84
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided passport. There is also a email receipt confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,0.73,Evidence includes a provided passport. with a email receipt confirming the order. A selfie with the passport and the cardholder's face is included.,TRUE,TRUE,0.59,0.75
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.","Only invoice is attached, no ID or email proof.",FALSE,0.37,"Only invoice is attached, no ID or email proof. Missing photographic or email proof.",FALSE,FALSE,0.44,0.45
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a uploaded driver's license. There is also a email from cardholder confirming the order. The driver's license image is clear and legible.,TRUE,0.74,Evidence includes a uploaded driver's license. with a email from cardholder confirming the order. The driver's license image is clear and legible.,FALSE,TRUE,0.72,0.82
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Screenshots show a chat with a generic support agent but no ID images.,FALSE,0.34,Screenshots show a chat with a generic support agent but no ID images. Missing photographic or email proof.,FALSE,FALSE,0.46,0.25
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a provided passport. There is also a email receipt confirming the order.,TRUE,0.82,Evidence includes a provided passport. with a email receipt confirming the order.,TRUE,TRUE,0.91,0.85
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Customer filled a web form. No ID copy was uploaded.,FALSE,0.31,Customer filled a web form. No ID copy was uploaded. Missing photographic or email proof.,FALSE,FALSE,0.42,0.38
"Does the merchant data provide photographic evidence such as a copy of an ID or email correspondence between the merchant and cardholder? If none of these exist, then the evidence is not compelling.",Attached is a shared driver's license. There is also a email from the merchant confirming the order. The driver's license image is clear and legible.,TRUE,0.95,Evidence includes a shared driver's license. with a email from the merchant confirming the order. The driver's license image is clear and legible.,TRUE,TRUE,0.78,1
